E1,E2
omission,omission
omission,same
omission,omission
same,same
omission,omission
omission,omission
omission,omission
same,same
omission,omission
omission,omission
omission,omission
same,same
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
same,same
same,same
omission,same
omission,omission
omission,omission
same,same
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
same,same
omission,same
omission,same
omission,same
same,same
same,same
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
omission,same
omission,omission
omission,same
omission,same
omission,omission
omission,omission
omission,-
omission,omission
omission,same
omission,same
omission,omission
omission,omission
omission,omission
-,
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,-
omission,same
omission,omission
-,-
omission,omission
omission,omission
same,same
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
omission,omission
same,same
omission,omission
same,same
omission,omission
same,same
omission,same
omission,same
omission,omission
omission,same
omission,omission
omission,omission
omission,-
same,same
same,same
same,same
same,same
omission,omission
-,omission
omission,omission
